İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,id,appearances,goalsPrevented,kilometersCovered,numberOfSprints,topSpeed
"Rassa Rahmani","1104233","Bundesliga 25/26","Austrian Bundesliga","SCR Altach","6.65","13.3","2","0","0","0","0","0.14889551","0","23","15","38","60.526315789474","12","11","7","3","0","0","0","1","0","0","0","1","50","0","0","0","0","0","2","50","2","28.571428571429","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","40","4","0","0","0","21","0","2","0","57","0","1","0","0","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","2","5","2","0","0","0","5","0","0","0","0","0","0","0","16","22","0","0","0","3","0","2675232","3","0","0","0","0"
"Lukas Jäger","138124","Bundesliga 25/26","Austrian Bundesliga","SCR Altach","6.6631578947368","126.6","19","0","0","1","0","0.14443499","0","515","160","675","76.296296296296","336","179","65","3","4","44.444444444444","41","31","4","0","0","1","16.666666666667","6","0","4","53","58.241758241758","36","51.428571428571","89","55.27950310559","1516","0","0","0","0","0","0","0","0","0","6","0","0","0","0","38","34.545454545455","66","0","1","0","196","3","32","8","937","8","21","0","0","13","1","2","0","0","4","0","0","0","0","15","2","0","0","0","0","0","17","0","0","3","9","6","72","34","0","0","0","110","17","24","58.536585365854","0","0","0","0","383","292","1","0.469","4","56","11","2092961","20","0","0","0","0"
"Lukas Jäger","138124","Bundesliga 24/25","Austrian Bundesliga","SCR Altach","6.5730769230769","170.9","26","0","0","1","0","0","0","285","83","368","77.445652173913","186","99","45","2","0","0","18","19","4","0","1","0","0","9","1","5","31","53.448275862069","17","51.515151515152","48","52.747252747253","1078","0","0","0","0","0","0","0","0","0","4","5","0","0","0","17","38.636363636364","31","0","0","2","98","0","20","10","516","15","14","0","0","12","2","3","0","0","1","0","0","0","0","12","6","0","0","0","0","0","11","0","0","2","1","3","43","16","0","0","0","44","18","7","38.888888888889","0","1","0","0","209","162","0","0","0","44","0","1482586","27","0","0","0","0"
"Lukas Jäger","138124","Bundesliga 23/24","Austrian Bundesliga","SCR Altach","6.88","206.4","30","1","1","1","0","0","1","567","240","807","70.260223048327","282","287","137","8","6","60","71","62","12","0","0","2","28.571428571429","18","6","4","110","55.276381909548","68","62.385321100917","178","57.792207792208","2465","5.5555555555556","0","0","0","0","0","0","1","0","12","6","0","0","1","45","40.178571428571","58","1","0","4","288","8","64","37","1226","36","45","0","0","41","3","8","0","0","7","0","0","0","0","32","5","0","0","0","0","0","29","0","0","8","10","7","130","41","0","0","0","112","37","38","53.521126760563","2465","0","0","0","343","471","1","0","0","133","0","1052792","30","0","0","0","0"
"Sandro Ingolitsch","792501","Bundesliga 25/26","Austrian Bundesliga","SCR Altach","6.8434782608696","157.4","23","0","4","0","5","2.08021124","5","393","217","610","64.426229508197","181","212","115","13","17","54.838709677419","56","26","4","0","0","10","23.255813953488","10","1","5","95","55.555555555556","25","78.125","120","59.113300492611","1880","0","0","0","1","1","0","0","0","0","7","3","0","0","0","36","33.962264150943","60","0","0","6","331","4","91","40","1136","23","26","0","0","31","1","4","0","0","6","0","0","0","0","21","1","0","0","0","0","0","22","0","0","13","31","43","83","7","0","0","0","106","22","34","60.714285714286","0","0","0","0","244","366","2","0.5546","0","48","10","2092963","23","0","0","0","0"
"Sandro Ingolitsch","792501","Bundesliga 24/25","Austrian Bundesliga","SCR Altach","7.0074074074074","189.2","27","0","6","1","3","0","3","559","250","809","69.097651421508","241","335","177","25","21","48.837209302326","74","47","9","0","1","17","21.794871794872","13","5","5","128","52.459016393443","24","60","152","53.521126760563","2330","0","0","0","1","0","0","0","0","0","9","4","0","0","0","47","32.191780821918","84","0","1","15","443","7","87","45","1595","33","42","0","0","40","4","3","0","0","3","0","0","0","0","28","9","0","0","0","0","0","27","0","0","25","43","78","132","16","0","0","0","146","37","48","64.864864864865","0","1","0","0","309","578","2","0","0","92","0","1482633","27","0","0","0","0"
"Sandro Ingolitsch","792501","Bundesliga 23/24","Austrian Bundesliga","SCR Altach","6.8380952380952","143.6","21","0","1","1","0","0","0","317","150","467","67.880085653105","156","165","82","7","16","55.172413793103","47","23","3","0","0","4","16","4","2","2","79","53.378378378378","13","48.148148148148","92","52.571428571429","1333","0","0","0","0","0","0","0","0","0","3","1","0","0","0","38","39.583333333333","25","0","1","14","256","4","65","29","852","16","23","0","0","19","2","0","0","0","3","0","0","0","0","9","2","0","0","0","0","0","15","0","0","7","29","25","83","14","0","0","0","96","11","30","63.829787234043","0","0","0","0","197","295","1","0","0","65","0","1129607","21","0","0","0","0"
"Dejan Stojanović","109453","Bundesliga 25/26","Austrian Bundesliga","SCR Altach","7.008","175.2","25","0","0","0","0","0.05291843","0","458","376","834","54.916067146283","312","146","48","1","0","0","4","1","3","0","0","0","0","0","0","0","12","100","9","100","21","100","2250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","207","35.567010309278","20","2","0","0","387","0","36","17","1088","11","0","0","0","0","0","0","0","73","7","3","1","49","24","26","2","7","8","8","22","1","25","0","0","1","0","0","0","0","0","0","0","582","28","2","50","0","0","0","15","361","473","4","0","131","265","0","2092957","25","4.2959","0","0","0"
"Dejan Stojanović","109453","Bundesliga 24/25","Austrian Bundesliga","SCR Altach","6.9620689655172","201.9","29","0","0","0","0","0","0","530","365","895","59.217877094972","386","144","46","0","0","0","4","0","1","0","0","0","0","1","0","1","7","77.777777777778","11","91.666666666667","18","85.714285714286","2610","0","0","0","0","0","0","0","0","0","1","0","0","0","0","211","36.631944444444","30","3","1","0","373","0","59","37","1211","4","1","0","0","2","0","0","0","75","4","4","1","47","27","35","9","9","23","20","45","0","29","0","0","0","0","0","3","1","0","0","0","576","44","1","25","0","0","0","11","430","465","5","0","204","287","0","1482632","29","0","0","0","0"
"Dejan Stojanović","109453","Bundesliga 23/24","Austrian Bundesliga","SCR Altach","7.3269230769231","190.5","26","0","0","0","0","0","0","473","296","769","61.508452535761","287","186","86","2","0","0","5","0","2","0","0","0","0","0","0","0","10","90.909090909091","13","100","23","95.833333333333","2274","0","0","0","0","1","0","0","0","0","0","0","0","0","0","248","46.182495344507","24","0","1","0","308","0","127","68","1071","7","1","0","0","0","0","0","0","77","8","1","0","53","22","26","3","7","16","16","30","0","26","0","0","2","0","0","1","0","0","0","0","537","29","3","60","0","0","1","18","332","437","4","0","193","218","0","1052780","26","0","0","0","0"
