İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Taras Stepanenko,45604,UEFA Champions League 23/24,UEFA Champions League,Shakhtar Donetsk,6.9333333333333,0,1,194,227,85.462555066079,33,2,0,0.0,1,0,0,0,0.0,7,3,6,60.0,497,0.0,0,0,0,6,31.578947368421,19,0,4,5,1,0,2,0,0,1,0,6,2,19,12,0,23,6,6,0,0,0.12376624,114,80,14,6,18,78.260869565217,0,1,0,0,0,44,3,20,10,299,1,0,0,0,0,0,0,0,2,0,7,50.0,126,103,0,0.4624,0,
Taras Stepanenko,45604,UEFA Europa League 23/24,UEFA Europa League,Shakhtar Donetsk,6.35,0,0,64,74,86.486486486486,7,2,0,0.0,1,0,0,0,0.0,0,0,2,40.0,155,0.0,0,0,0,2,40.0,4,0,0,6,4,0,0,0,0,0,0,2,1,5,4,0,6,2,2,0,0,0.01192527,46,18,6,1,6,40.0,0,0,0,1,0,13,1,3,1,91,0,0,0,0,0,0,0,0,2,0,4,66.666666666667,51,24,0,0.0,0,
Nika Gagnidze,979074,Premier League 25/26,Ukrainian Premier League,Kolos Kovalivka,6.9166666666667,0,3,421,511,82.39,35,22,14,77.78,2,0,0,11,42.31,18,4,18,45.0,1620,0.0,0,0,0,8,40.0,10,9,16,21,20,2,10,0,0,0,0,17,26,20,0,0,118,18,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Nika Gagnidze,979074,Premier League 24/25,Ukrainian Premier League,Kolos Kovalivka,6.7590909090909,2,1,498,614,81.11,34,11,9,75.0,4,0,0,4,18.18,9,4,17,42.5,1902,22.22,0,0,0,17,70.83,11,9,18,22,15,1,4,0,0,0,0,19,22,24,0,0,142,22,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Ibrahim Kane,906045,Premier League 25/26,Ukrainian Premier League,Kolos Kovalivka,6.7166666666667,1,0,166,206,80.58,14,10,16,84.21,0,0,0,7,58.33,11,3,5,25.0,842,9.091,0,0,0,3,60.0,5,2,22,17,26,2,2,1,0,0,0,8,12,5,0,0,49,19,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Ibrahim Kane,906045,Premier League 24/25,Ukrainian Premier League,Vorskla Poltava,7.003125,3,1,579,721,80.31,43,20,46,74.19,1,0,0,6,15.79,43,14,17,32.69,2480,6.977,0,0,0,19,54.29,11,4,51,24,47,9,1,1,0,0,0,29,38,35,0,0,174,30,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Ibrahim Kane,906045,Premier League 23/24,Ukrainian Premier League,Vorskla Poltava,7.0137931034483,2,3,641,794,80.73,51,27,78,72.9,4,0,0,25,37.88,49,16,20,36.36,2577,4.082,0,0,0,22,46.81,12,5,70,25,45,3,1,2,0,0,0,27,66,47,0,0,159,29,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Arinaldo Rrapaj,971491,Premier League 25/26,Ukrainian Premier League,Kolos Kovalivka,7.2142857142857,1,2,320,399,80.2,43,28,25,78.13,3,1,1,6,40.0,33,8,4,21.05,1135,3.03,1,1,3,32,60.38,4,3,23,14,9,1,0,0,0,0,0,14,15,53,0,1,40,14,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Arinaldo Rrapaj,971491,Premier League 24/25,Ukrainian Premier League,Kolos Kovalivka,7.1153846153846,1,3,290,378,76.72,50,23,20,76.92,1,0,0,5,33.33,16,6,9,60.0,1078,6.25,0,0,1,21,56.76,1,5,23,17,6,0,2,3,0,0,0,13,15,37,0,0,45,13,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Luka Stankovski,1063157,Premier League 25/26,Ukrainian Premier League,Kolos Kovalivka,6.3333333333333,0,0,20,23,86.96,0,1,0,0.0,1,0,0,1,100.0,0,0,0,0.0,64,0.0,0,0,0,2,66.67,0,0,1,3,1,0,0,0,0,0,0,0,1,3,0,0,1,4,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
