İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Shakh Artur,1648489,Premier League 24/25,Ukrainian Premier League,Karpaty Lviv,6.6666666666667,2,1,137,180,76.11,9,6,31,70.45,3,0,0,10,43.48,16,9,6,26.09,914,12.5,0,0,0,9,60.0,15,4,8,14,27,1,1,0,0,0,0,6,23,15,0,0,59,25,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Yan Kostenko,1046010,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.9875,3,0,250,320,78.13,15,13,33,80.49,3,0,0,12,42.86,19,7,33,52.38,1245,15.79,0,0,1,6,37.5,18,4,32,19,23,0,1,1,0,0,0,16,28,16,0,0,74,17,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Yan Kostenko,1046010,Premier League 24/25,Ukrainian Premier League,Karpaty Lviv,6.7884615384615,1,1,202,275,73.45,8,9,44,64.71,5,0,1,8,22.86,25,8,27,41.54,1547,4.0,0,0,0,4,33.33,18,9,48,28,22,1,4,1,0,0,0,19,35,12,0,1,73,26,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Eriki,1870051,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.6,0,0,7,10,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,38,0.0,0,0,0,0,0.0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Ivan Chaban,1425330,Premier League 24/25,Ukrainian Premier League,Karpaty Lviv,6.5,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,14,0.0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Jean Pedroso,1462756,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.8352941176471,1,2,734,812,90.39,46,6,9,75.0,5,0,0,1,100.0,6,3,35,53.03,1530,16.67,0,0,0,38,51.35,32,6,4,14,27,2,11,0,0,0,0,16,1,74,0,0,176,17,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Jean Pedroso,1462756,Premier League 24/25,Ukrainian Premier League,Karpaty Lviv,7.1105263157895,1,0,729,830,87.83,59,2,5,62.5,2,0,0,0,0.0,7,2,40,58.82,1688,14.29,0,0,0,55,49.11,45,21,3,13,36,0,30,0,0,0,0,17,0,112,0,0,184,20,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Oleksii Sych,1022525,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.8272727272727,0,0,239,332,71.99,21,7,18,81.82,0,0,0,14,34.15,9,1,13,56.52,990,0.0,0,0,0,20,47.62,32,7,15,10,26,0,2,0,0,0,0,9,41,42,0,0,81,11,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Oleksii Sych,1022525,Premier League 24/25,Ukrainian Premier League,Karpaty Lviv,7.1,0,4,489,727,67.26,60,20,31,73.81,3,0,0,31,32.29,12,3,24,48.0,1800,0.0,0,0,0,55,42.97,43,4,17,13,43,2,3,0,0,0,0,19,96,128,0,0,159,20,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Vladyslav Babohlo,926993,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,7.15,2,2,804,920,87.39,111,5,1,50.0,8,1,1,0,0.0,18,5,70,66.04,1800,11.11,0,0,0,71,58.68,71,17,7,30,24,1,26,0,0,0,0,20,5,121,0,1,217,20,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
