İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Igor Neves,1132966,Premier League 25/26,Ukrainian Premier League,Rukh Lviv,6.625,1,0,80,112,71.43,5,5,9,60.0,3,0,0,2,28.57,19,8,20,25.32,955,5.263,0,0,0,1,50.0,6,4,16,14,2,0,5,0,0,0,0,9,7,2,0,0,22,20,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Ivan Denysov,1563581,Premier League 25/26,Ukrainian Premier League,Rukh Lviv,6.6,0,0,3,4,75.0,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0.0,55,0.0,0,0,0,0,0.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Ivan Denysov,1563581,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.5,0,0,3,3,0.0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,19,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Bogdan Kyrykovych,2141219,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.5,0,0,7,7,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,22,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Beknaz Almazbekov,1196016,Premier League 25/26,Ukrainian Premier League,Rukh Lviv,6.53,0,0,65,83,78.31,8,3,4,50.0,0,0,0,1,25.0,3,2,1,10.0,380,0.0,1,0,0,1,50.0,6,1,4,11,8,1,2,0,0,0,0,3,4,2,0,0,18,11,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Beknaz Almazbekov,1196016,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.675,0,0,59,70,84.29,5,3,4,57.14,0,0,0,2,66.67,3,1,5,41.67,280,0.0,0,0,0,4,100.0,1,1,5,3,3,0,0,0,0,0,0,3,3,4,0,0,19,8,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Samba Diallo,982323,Premier League 25/26,Ukrainian Premier League,Rukh Lviv,6.6666666666667,0,1,27,32,84.38,1,1,5,62.5,1,0,0,0,0.0,3,0,2,40.0,217,0.0,0,0,0,0,0.0,6,0,5,2,2,0,0,0,0,0,0,3,1,0,0,0,10,3,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Talles Brener,1018265,Premier League 25/26,Ukrainian Premier League,Rukh Lviv,6.5166666666667,0,0,145,180,80.56,15,0,8,88.89,2,0,0,3,60.0,6,3,1,16.67,540,0.0,0,0,0,5,41.67,3,4,4,3,1,1,0,0,0,0,0,6,5,12,0,0,34,6,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Talles Brener,1018265,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,7.0565217391304,5,3,482,553,87.16,61,19,39,75.0,2,0,0,7,35.0,42,16,2,12.5,1499,11.9,1,1,1,19,61.29,6,4,11,14,24,3,1,1,0,0,0,15,20,31,0,0,97,23,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Vlad Raileanu,1124044,Premier League 25/26,Ukrainian Premier League,Rukh Lviv,6.6714285714286,0,0,103,150,68.67,11,6,10,71.43,0,0,0,2,50.0,15,3,4,28.57,716,0.0,0,0,0,7,50.0,7,3,7,7,1,0,1,0,0,0,0,8,4,14,0,0,24,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
